,Post-Postmodern art,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Additional course 1,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,Additional course 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Additional course 3,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
Mr. Canvas,Sports,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
,Art,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,
Mr. Summit,Sports,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic safety,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1
Mr. Chisel,Tech edu,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,
Mrs. Lathe,Tech edu,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,
